 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
remaining,10,0.9874059061957151,0.9370940170940171,0.9338935804074602,0.9607243223642463,0.9597113566414893,0.9944464921136896,0.06290598290598289
remaining,14,0.9282355852511754,0.8493333333333334,0.9221208945275409,0.9000158957240503,0.9233864355905176,0.9546983419945558,0.1506666666666667
remaining,16,0.9252041573867854,0.7448148148148149,0.7914524910234819,0.8349091583240636,0.8506501587087713,0.9299777282850781,0.2551851851851852
remaining,17,0.9465478841870824,0.9576666666666668,0.8792805674475274,0.9551051821446896,0.9094627961375865,0.9887521653056175,0.042333333333333334
remaining,18,0.985969488577978,0.9897222222222223,0.9912300560178888,0.9876977527610764,0.9885385717487584,0.9994964166205569,0.010277777777777794
remaining,19,0.9982467970330412,0.9940444444444445,0.9940014081668339,0.9961336462174545,0.99611951840205,0.9999320056941635,0.0059555555555555655
remaining,20,0.9998705920414105,0.9930116472545757,0.9920049305123626,0.9961773928624756,0.9958989421272435,0.999986829528341,0.006988352745424286
remaining,21,0.9904156577885392,0.9105555555555556,0.9219552163876988,0.9505097920452252,0.9537597234992193,0.9913398767741988,0.08944444444444444
remaining,22,0.9131403118040089,0.8380603842634949,0.4074610436550735,0.8459468943736109,0.5606241091427409,0.9360450138401344,0.16193961573650506
remaining,23,0.9942984409799553,0.9665373005605865,0.966861059400383,0.9801928133216478,0.9802754936264921,0.9985285493804928,0.03346269943941353
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,14,0.7418955704033655,0.1451111111111111,0.6075955605238389,0.5284533460499125,0.6660714021128122,0.3642796337540213,0.8548888888888889
 
remaining,1,0.9993636652879415,0.9983000980712651,0.9983506935072082,0.9988390841663978,0.9988557991845644,0.9999921659479385,0.0016999019287348943
remaining,2,0.9894965986394558,0.9937037037037036,0.9925808291449328,0.9917698561601002,0.9910334236933824,0.9996213794406651,0.006296296296296282
remaining,3,0.9910731519011774,0.9852020202020202,0.9863635624233468,0.9882045207778106,0.9885228118020907,0.9998466424523169,0.01479797979797981
remaining,5,0.9798709677419355,0.9868253968253968,0.9856805393302599,0.9834881320949431,0.9826828936577247,0.9990087386926098,0.013174603174603172
remaining,6,0.8656450872359963,0.9101546601546602,0.9009638682976401,0.8892394822006473,0.8787564027218937,0.969204065084747,0.08984533984533984
remaining,8,0.9806236080178173,0.994,0.9939429253373564,0.9873192436040045,0.9871997041743935,0.9990640930462756,0.006000000000000005
remaining,9,0.9910697543596475,0.9910688562373956,0.9913467325513551,0.9910693106883629,0.9911702631804741,0.999643137088174,0.008931143762604427
remaining,10,0.978430804863926,0.971837606837607,0.968618355854452,0.9749342761309038,0.973486361224396,0.9963005730999361,0.028162393162393162
remaining,13,0.97584229390681,0.9900793650793651,0.9913272679281557,0.982598870056497,0.9828162212508103,0.9998676907322069,0.009920634920634904
remaining,16,0.8732368225686712,0.8316666666666667,0.8417977486368086,0.8524286243974787,0.8562433999641422,0.9274117380186421,0.16833333333333333
remaining,17,0.9294729027468448,0.9703333333333334,0.9086450259259674,0.9609201299811869,0.9180160491276778,0.9881078940856224,0.029666666666666657
remaining,18,0.9911469449055411,0.9914814814814815,0.992789899380269,0.9913010106178842,0.9919227226972298,0.9997651920357636,0.0085185185185185
remaining,19,0.9987862440997977,0.9972444444444445,0.9972184272763284,0.9980109509442395,0.9980014896823827,0.9999677710346894,0.002755555555555548
remaining,20,0.9993529602070528,0.9976705490848585,0.9972922359332529,0.9984470658503806,0.9983202223473345,0.9999897722495291,0.002329450915141429
remaining,21,0.9805790960451977,0.9483333333333333,0.9516959001717342,0.9644659802140118,0.9654925221231029,0.9936962084525643,0.051666666666666666
remaining,22,0.8273942093541202,0.8917788524375898,0.49183205349776,0.8850157913206222,0.6111293876560789,0.9412547495865716,0.10822114756241014
remaining,23,0.9807572383073497,0.9885295385942217,0.9880154670516775,0.9847063978965819,0.9843024138813119,0.9988104080650692,0.011470461405778365
 
 
 
 , ,Sn,Sp,precision,acc,f1_score,auc,fpr
excepted,16,0.5111358574610245,0.5064814814814814,0.5196668045205098,0.5088060808305525,0.5072597759078578,0.5271502515878909,0.4935185185185185
 
remaining,1,0.9993636652879415,0.9995423340961098,0.9995543953562398,0.9994517897452434,0.9994588956556328,0.9999976119246504,0.00045766590389016503
